# HD 5319 Mass 1.51(0.11) Jitter 4.2
# JD	RV	sigma_RV
13014.7556	4.50	3.70
13015.7606	13.58	3.61
13016.7651	9.72	2.99
13191.1101	-53.30	2.22
13207.0754	-42.94	1.90
13208.0656	-47.18	2.12
13367.7078	-32.05	1.13
13368.7160	-33.30	1.22
13369.7253	-29.11	1.03
13397.7194	-9.11	1.00
13694.7659	15.97	1.02
13695.7711	23.36	0.98
13696.7462	24.52	1.00
13724.7791	5.79	0.91
13750.7363	9.04	1.28
13775.7200	-0.69	1.24
13776.7061	-7.33	1.19
13777.7208	-6.42	1.26
13778.7168	-19.00	1.20
13779.7412	-2.90	1.17
13927.0485	-30.18	1.22
13933.0449	-31.17	1.24
13959.0917	-26.29	1.27
13961.0367	-21.96	1.01
13961.0402	-20.66	1.00
13981.9060	-25.36	1.18
14023.7760	-16.13	1.36
14083.8337	-7.27	1.13
14085.9027	-2.36	1.22
14129.7746	13.80	1.08
14319.0740	-12.47	0.98
14336.0524	-7.68	1.01
14343.9381	-1.85	1.06
14427.9088	-15.65	0.98
14636.0956	1.25	1.12
14721.9810	23.72	1.20
14790.8874	30.29	1.28
14807.8193	27.46	1.13
14838.7959	29.85	1.08
15015.1236	-32.33	1.01
15045.0752	-51.89	1.23
15077.0750	-51.30	1.07
15133.9738	-47.91	1.15
15169.8628	-44.74	1.14
15188.7784	-42.27	1.17
15197.7498	-43.02	1.22
15229.7113	-39.36	1.14
15250.7109	-33.44	1.11
15381.1261	37.15	1.24
15396.1025	37.10	1.21
15397.0565	42.13	1.09
15400.0755	37.05	1.09
15434.0867	32.58	1.10
15455.9742	30.44	1.10
15467.0374	34.77	1.05
15487.0331	44.07	1.08
15500.8621	47.28	1.19
15521.8665	45.55	1.10
15522.8818	30.67	1.00
15528.8672	43.64	1.11
15542.8488	35.99	1.04
15584.7044	37.93	1.04
15613.7048	28.33	1.15
15731.1069	-37.67	1.12
15782.1153	-40.90	1.04
15783.1368	-42.71	1.14
15789.1394	-37.63	1.10
15841.9586	-28.92	1.13
15871.0018	-37.54	1.35
15904.7652	-33.46	1.28
15931.7529	-31.07	1.15
15960.7076	-9.01	1.14
15972.7134	-11.19	1.03
16115.1335	37.79	1.17
16135.1396	26.00	1.13
16166.1509	33.00	1.22
16202.9785	31.74	1.19
16319.7103	9.01	1.17
16343.7140	-12.85	1.16
16513.1415	-12.23	1.23
16588.9789	-7.49	1.22
