#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-01-31T06:00:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56ada2c5a991	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/141/503/table1
#-nav=cat:J/ApJS/141/503&tab:{J/ApJS/141/503/table1}&key:source=J/ApJS/141/503/table1&HTTPPRM:&&-ref=VIZ56ada2c5a991&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-ignore=Simbad=*&Simbad=Simbad&-out=Date&-out=<RV>&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/141/503/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/141/503/table1
#-order=I
#-out=Name
#-out=Date
#-out=<RV>
#

#RESOURCE=yCat_21410503
#Name: J/ApJS/141/503
#Title: Radial Velocities for 889 late-type stars (Nidever+, 2002)
#Table	J_ApJS_141_503_table1:
#Name: J/ApJS/141/503/table1
#Title: Radial velocities of stable stars with RMS<100m/s
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Primary name	[ucd=meta.id;meta.main]
#Column	Date	(I7)	Mean time of observation	[ucd=time.epoch]
#Column	<RV>	(I7)	Mean barycentric radial velocity	[ucd=phys.veloc;pos.barycenter]
_RAJ2000	_DEJ2000	Name	Date	<RV>
deg	deg	 	JD	m/s
--------	--------	------------	-------	-------
001.6533	+29.0215	HD    166   	2448783	  -6537
001.8856	-23.8187	HD    283   	2451002	 -43102
002.1073	+06.6168	HD    377   	2451417	   1184
002.1706	+36.6271	HD    400   	2451137	 -15141
002.4639	+08.4531	HD    531   	2451419	  13460
004.5954	+44.0230	HD   1326A  	2449928	  11814
004.6075	+44.0273	HD   1326B  	2451294	  10976
004.4953	-13.4556	HD   1388   	2451016	  28498
004.6744	-08.0530	HD   1461   	2451083	 -10166
005.7509	+22.3750	HD   1832   	2451250	 -30550
005.7158	-12.2094	HD   1835   	2449123	  -2405
006.1081	-27.0268	HD   2025   	2451218	   3241
007.9215	+52.8395	HD   2774   	2451478	 -51566
008.4325	-35.0021	HD   3074   	2450955	  29539
008.6238	+47.9155	HD   3079   	2451193	 -12347
009.8409	+21.2505	HD   3651   	2449708	 -32961
009.9196	+11.5323	HD   3674   	2451161	    166
010.2053	+40.1872	HD   3765   	2451151	 -63202
010.2995	+09.3551	HD   3861   	2451055	 -14796
011.1717	+20.4489	HD   4203   	2452020	 -14140
011.1110	-26.5157	HD   4208   	2451345	  56726
011.2704	+01.7855	HD   4256   	2451069	   9460
011.3695	-12.8808	HD   4307   	2451303	 -10349
012.2762	+57.8152	HD   4614   	2449380	   8314
012.2771	+57.8152	HD   4614B  	2450036	  11293
012.0957	+05.2806	HD   4628   	2449262	 -10230
012.7952	-05.0393	HD   4915   	2451348	  -3742
013.2156	+40.2456	HD   5065   	2451336	 -73844
013.2547	-30.3569	HD   5133   	2451470	 -13067
014.0724	+52.4912	HD   5372   	2451325	    596
015.6024	+05.0614	HD   6101   	2451041	  22170
016.8698	+41.2589	HD   6611   	2451027	  -6068
016.9986	+01.9930	HD   6734   	2451130	 -94511
017.7262	+09.5639	HD   7047   	2451128	   9264
018.2596	+33.1549	HD   7228   	2451450	 -20538
019.1219	+42.9394	HD   7590   	2451425	 -13073
019.2459	-02.2792	HD   7727   	2451262	   5898
020.5745	+18.6827	HD   8262   	2451290	   5636
020.7610	-12.9661	HD   8389   	2450869	  34647
021.3022	+28.5667	HD   8574   	2451328	  18886
021.3338	+01.4609	HD   8648   	2451441	    923
021.6737	+19.2404	HD   8763   	2451487	 -42532
022.1015	+17.0793	HD   8941   	2451171	   9132
022.8314	+29.4131	HD   9224   	2451174	  14937
022.8081	-10.8965	HD   9280   	2451172	  41861
023.2590	+53.0338	HD   9331   	2451933	 -20086
023.6386	+68.9481	HD   9407   	2451248	 -33291
023.4285	-07.0253	HD   9562   	2451071	 -14989
024.1993	+41.4055	HD   9826   	2448547	 -28674
024.4203	+12.0784	HD   9986   	2451276	 -21047
024.2859	-29.3933	HD  10002   	2450973	  11562
024.9001	+45.8778	HD  10086   	2451297	   2143
024.8999	+28.1110	HD  10126   	2451301	  56156
025.4072	+66.9099	HD  10145   	2451098	  17838
025.9197	+63.8234	HD  10436   	2451469	 -50957
025.6240	+20.2685	HD  10476   	2450921	 -33647
026.2326	+20.0831	HD  10697   	2451044	 -46022
026.0170	-15.9375	HD  10700   	2449838	 -16619
026.9368	+63.8525	HD  10780   	2451404	   2764
026.9099	-26.7500	HD  11020   	2450999	  22786
027.5644	-06.7041	HD  11226   	2451310	  10314
028.2758	-01.3269	HD  11505   	2451279	 -16470
029.2900	-10.2424	HD  11964   	2451109	  -9366
029.7776	+33.2097	HD  12051   	2451097	 -35102
030.0382	+03.0970	HD  12235   	2449727	 -18434
030.4686	+07.8644	HD  12414   	2450997	  15898
031.1429	+25.4143	HD  12661   	2451463	 -47310
031.6260	+24.3340	HD  12846   	2451435	  -4662
031.8928	-00.6174	HD  13043   	2451030	 -39333
033.2292	+40.6683	HD  13507   	2451141	   6172
033.3056	+40.5076	HD  13531   	2450979	   7203
033.9273	+67.6723	HD  13579   	2451339	 -12723
033.1943	-02.3964	HD  13612B  	2451076	  -5337
033.8517	+24.2713	HD  13825   	2451270	  -2237
034.1974	+43.7730	HD  13931   	2451265	  30538
034.7438	-25.9457	HD  14412   	2451006	   7383
036.8657	+31.8013	HD  15176   	2451494	 -41783
037.2021	+29.9318	HD  15335   	2451031	  41202
038.8330	-03.5606	HD  16141   	2451067	 -50971
039.0204	+06.8869	HD  16160   	2449351	  25766
039.6161	+30.8166	HD  16397   	2451060	 -99660
039.7903	-26.3187	HD  16623   	2451088	  17502
041.0499	+49.2284	HD  16895   	2448930	  24453
041.5634	+25.6499	HD  17190   	2451146	  14138
