#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-30T03:55:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56ac338d1bd0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/ApJ/727/117&tab:{J/ApJ/727/117/stars}&tab:{J/ApJ/727/117/table3}&key:source=J/ApJ/727/117/stars&HTTPPRM:&&-ref=VIZ56ac338d1bd0&-out.max=50&-out.form=ascii table&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=SpT&-out=Mass&-out=r_Mass&-out=Pera&-out=f_Pera&-out=Perb&-out=f_Perb&-out=VC&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.src=J/ApJ/727/117/stars&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-source= J/ApJ/727/117/stars J/ApJ/727/117/table3
#-order=I
#-out=Name
#-out=SpT
#-out=Mass
#-out=r_Mass
#-out=Pera
#-out=f_Pera
#-out=Perb
#-out=f_Perb
#-out=VC
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/ApJ/727/117/stars
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_17270117
#Name: J/ApJ/727/117
#Title: Radial velocities of four exoplanet candidates (Meschiari+, 2011)
#Table	J_ApJ_727_117_stars:
#Name: J/ApJ/727/117/stars
#Title: Star parameters (from tables 1 and 2)
#Column	Name	(A9)	Star identification \linkRole{velocity measurements }	[ucd=meta.id;meta.main]
#Column	SpT	(A4)	MK spectral type	[ucd=src.spType]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	r_Mass	(A1)	[d] d: Takeda et al. (2007, Cat. J/ApJS/168/297)	[ucd=meta.ref]
#Column	Pera	(F8.3)	Period	[ucd=time.period]
#Column	f_Pera	(A1)	[a] a: New planet candidate	[ucd=meta.code]
#Column	Perb	(F8.3)	? Second period	[ucd=time.period]
#Column	f_Perb	(A1)	[a] a: New planet candidate	[ucd=meta.code]
#Column	VC	(A2)	Velocity curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Positions from Simbad database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad database (declination part)	[ucd=pos.eq.dec;meta.main]
Name	SpT	Mass	r_Mass	Pera	f_Pera	Perb	f_Perb	VC	Simbad	_RA	_DE
 	 	Msun	 	d	 	d	 	 	 	deg	deg
---------	----	-----	-	--------	-	--------	-	--	------	---------	---------
HD 177830	K0IV	 1.47	 	 406.600	 	 110.900	a	VC	Simbad	286.33656	+25.92066
HD 218566	K3V 	 0.85	d	 225.700	a	        	 	VC	Simbad	347.29470	-02.26074
HD 31253 	F8  	 1.23	 	 466.000	 	        	 	VC	Simbad	073.68189	+12.35220
HD 74156 	G1V 	 1.24	 	2520.000	 	  51.638	 	VC	Simbad	130.60468	+04.57810
HD 99492 	K2V 	 0.83	d	  17.054	a	4970.000	a	VC	Simbad	171.69282	+03.00632

#Table	J_ApJ_727_117_table3:
#Name: J/ApJ/727/117/table3
#Title: KECK radial velocities
#Column	Name	(A9)	Star identification \linkRole{star parameters }	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F7.2)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	Uncertainty in RV	[ucd=stat.error]
Name	BJD	RV	e_RV
 	d	m/s	m/s
---------	-------------	-------	-----
HD 31253 	2450838.75189	  -1.44	 1.97
HD 31253 	2451043.12399	 -11.98	 1.61
HD 31253 	2451073.03263	 -10.12	 1.45
HD 31253 	2451170.90537	   6.52	 1.79
HD 31253 	2451228.78516	  11.64	 1.41
HD 31253 	2451411.13343	   3.54	 2.21
HD 31253 	2451550.87137	 -20.13	 1.59
HD 31253 	2451581.85884	  -4.86	 1.71
HD 31253 	2451757.13309	   7.45	 1.61
HD 31253 	2451793.11793	   8.50	 1.76
HD 31253 	2451883.00052	   2.05	 1.80
HD 31253 	2451884.08282	  -0.63	 1.78
HD 31253 	2451898.01005	   6.44	 1.65
HD 31253 	2451898.99796	  -2.59	 1.57
HD 31253 	2451899.99476	   1.53	 1.48
HD 31253 	2451901.00753	  -1.13	 1.49
HD 31253 	2451973.74609	  -7.57	 1.83
HD 31253 	2451974.76077	  -7.26	 1.67
HD 31253 	2452235.85335	   1.28	 1.62
HD 31253 	2452536.09260	   0.00	 1.53
HD 31253 	2452575.99470	   8.16	 1.77
HD 31253 	2452898.09851	 -11.51	 1.48
HD 31253 	2453241.13429	   5.68	 1.53
HD 31253 	2453338.87214	  -6.23	 1.39
HD 31253 	2453339.99226	  -6.70	 1.50
HD 31253 	2453984.09331	  16.24	 1.44
HD 31253 	2454084.05142	  15.15	 1.52
HD 31253 	2454130.84528	   7.82	 1.62
HD 31253 	2454131.74964	  12.85	 1.61
HD 31253 	2454138.73395	   2.50	 1.53
HD 31253 	2454396.90266	  -9.46	 1.50
HD 31253 	2454398.01742	  -1.91	 1.70
HD 31253 	2454464.89612	   3.27	 1.61
HD 31253 	2454491.84891	  14.30	 1.44
HD 31253 	2454545.76603	  15.83	 1.50
HD 31253 	2454778.98495	  -7.23	 2.03
HD 31253 	2454872.85868	   5.12	 0.87
HD 31253 	2455202.81016	 -10.48	 0.95
HD 31253 	2455257.82898	  -9.44	 0.72
HD 218566	2450366.85498	   5.12	 1.16
HD 218566	2450666.08942	  -5.42	 1.21
HD 218566	2450690.03236	  -5.31	 1.24
HD 218566	2450714.98919	   2.30	 1.24
HD 218566	2450715.94463	   3.55	 1.16
HD 218566	2450983.10118	   2.79	 1.13
HD 218566	2451012.03640	   5.50	 1.37
HD 218566	2451050.94400	   1.57	 1.21
HD 218566	2451071.96025	  -1.72	 1.19
HD 218566	2451343.03657	 -10.72	 1.22
HD 218566	2451369.03547	  -9.47	 1.24
HD 218566	2451410.98964	  -1.71	 1.28
HD 218566	2451440.89265	  -3.58	 1.36
HD 218566	2451552.72759	  -4.34	 1.46
HD 218566	2451900.73713	   4.62	 1.15
HD 218566	2452096.07187	  -0.28	 1.29
HD 218566	2452242.72507	  -5.34	 1.44
HD 218566	2452488.04912	  -4.37	 1.55
HD 218566	2452535.87165	   2.10	 1.25
HD 218566	2452575.73785	   1.82	 1.61
HD 218566	2452806.11771	   9.98	 1.49
HD 218566	2452828.95884	   7.04	 1.34
HD 218566	2452898.94265	  -2.18	 1.32
HD 218566	2453195.98598	   1.34	 1.31
HD 218566	2453303.88246	  11.48	 1.21
HD 218566	2453603.06616	 -10.68	 1.35
HD 218566	2453969.05624	  -0.75	 1.28
HD 218566	2454279.10762	  -5.84	 1.06
HD 218566	2454286.09348	  -3.99	 1.48
HD 218566	2454295.07876	  -3.03	 1.28
HD 218566	2454429.76038	   6.83	 1.17
HD 218566	2454430.74580	   6.25	 1.25
HD 218566	2454455.76108	  -0.38	 1.23
HD 218566	2454456.75051	   0.33	 1.31
HD 218566	2454457.73398	  -2.62	 1.36
HD 218566	2454460.74730	  -2.79	 1.42
HD 218566	2454461.77113	  -0.27	 1.12
HD 218566	2454634.09288	  16.93	 1.31
HD 218566	2454635.06583	  13.45	 1.13
HD 218566	2454636.05577	  13.70	 1.28
HD 218566	2454637.11095	  12.04	 1.39
HD 218566	2454638.06397	  15.78	 1.21
HD 218566	2454639.07829	  13.78	 1.24
HD 218566	2454641.10707	  12.59	 1.16
HD 218566	2454642.12403	   8.46	 1.31
HD 218566	2454674.93117	  -1.84	 1.27
